Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,These: Titel,These: These,Position: Position,Position: Begründung
1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir wollen das bestehende Finanzierungssystem der EU beibehalten. Die EU soll sich aus den Beiträgen der Mitgliedstaaten, den Mehrwertsteueranteilen der Mitgliedstaaten sowie Zöllen finanzieren."
2,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Die EU braucht eigene Einnahmen, um die wachsenden Aufgaben auf Dauer zu finanzieren. Einnahmen, die die EU generiert, sollen deshalb auch mehrheitlich in den EU-Haushalt fließen. Dabei geht es aber nicht um Steuern für Bürger*innen, sondern vor allem um Abgaben für Unternehmen – zum Beispiel mit einer Finanztransaktionssteuer oder Übergewinnsteuern in ökonomischen Sondersituationen."
3,SPD,Sozialdemokratische Partei Deutschlands,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir wollen die EU finanziell unabhängiger machen und gleichzeitig den deutschen Haushalt von Beiträgen in den europäischen Haushalt entlasten. Deshalb sind wir für die Ermöglichung neuer Eigenmittel für die EU. Eine eigene Steuerkompetenz der EU lehnen wir ab. Es muss der Grundsatz gelten: Einnahmen, die durch europäische Politiken entstehen, gehören in den EU-Haushalt. Dies heißt für uns jedoch nicht, dass Bürgerinnen und Bürger stärker steuerlich belastet werden sollen als heute."
4,AfD,Alternative für Deutschland,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Das Recht, Steuern zu erheben, ist eines der Königsrechte der nationalen Parlamente. Eine Steuererhebung durch die EU wäre ein Eingriff in die Souveränität und die demokratische Legitimität der Mitgliedsstaaten, da sie weniger Gestaltungsspielraum über ihre eigenen Steuersysteme hätten. Nach Ansicht vieler Fachleute wären durch die EU erhobene Steuern auch grundgesetzwidrig. Die AfD lehnt daher jede EU-Steuer ab, einschließlich einer EU-Finanztransaktionssteuer."
5,DIE LINKE,DIE LINKE,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Wir streiten für eine europäische Finanztransaktionssteuer, um Spekulant*innen stärker an der Finanzierung des Gemeinwesens zu beteiligen. Insgesamt wollen wir europäische Steuern an das Ziel binden, Ungleichheit in der EU und in den EU-Staaten zu verringern."
6,FDP,Freie Demokratische Partei,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Wir Freie Demokraten lehnen EU-Steuern ab, da sie zu erhöhten Abgaben für die Bürgerinnen und Bürger führen können. Bislang wird der EU-Haushalt zum größten Teil über Beiträge der Mitgliedstaaten finanziert. Diese bestehenden Einnahmequellen wollen wir erhalten. Die Zuweisung eigener Steuern an die europäische Ebene oder die Einführung von EU-Steuern lehnen wir hingegen ab."
7,Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme nicht zu,"Der Versand eigener Steuerbescheide ist unseres Erachtens geeignet, die Popularität der Europäischen Institutionen in den Mitgliedsbevölkerungen weiter zu erhöhen. ZwinkerSmiley!"
8,FREIE WÄHLER,FREIE WÄHLER,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,Wir treten für eine Finanztransaktionsabgabe ein. Eine Regelung macht hier allerdings nur in einem größeren europäischen Rahmen Sinn. Deshalb treten wir an dieser Stelle für eine europäische Transaktionsabgabe ein. Die daraus gewonnenen Einnahmen wollen wir dem EU-Haushalt als weitere Eigenmittel zuführen.
9,Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Ein eigenes Steuererhebungsrecht versetzt die EU in die Lage, europäische Aufgaben effektiver und unabhängiger wahrzunehmen. Es bedeutet auch mehr Transparenz und Akzeptanz für die europäische Haushaltspolitik. Am besten für EU-Steuern geeignet sind Steuerarten, die vornehmlich an grenzüberschreitende Tatbestände anknüpfen. Beispiele sind Finanztransaktionssteuern sowie Steuern auf stark umweltschädliche Mobilität."
10,ÖDP,Ökologisch-Demokratische Partei - Die Naturschutzpartei,1,EU-Steuern,Die EU soll eigene Steuern erheben dürfen.,stimme zu,"Es ist sinnvoll, Steuern europaweit einzuführen, diese Einnahmen könnten Teile des EU-Haushaltes decken. Dies ist für die Bürgerinnen und Bürger aufkommensneutral zu gestalten. Zu diesen Steuern zählen die CO2-Grenzausgleichssteuer (CBAM) oder Ressourcenverbrauchssteuern. Auch eine Finanztransaktionssteuer und eine Digitalsteuer zählen für die ÖDP dazu."
